sample_id,tepname,temperature,tepvalue
517,PF,309.295,2.41965e-05
517,PF,384.903,1.35713e-05
517,PF,477.318,3.13926e-06
517,PF,586.612,2.7384e-05
517,PF,687.721,0.000154983
517,PF,776.2,0.000270943
517,PF,877.356,0.000421531
517,PF,970.061,0.000549033
517,PF,1071.1,0.000642148
518,PF,321.876,1.28468e-05
518,PF,376.499,1.34747e-05
518,PF,473.14,1.45855e-05
518,PF,578.498,0.000165222
518,PF,671.541,0.000453648
518,PF,764.319,0.000615634
518,PF,874.096,0.000869769
518,PF,966.898,0.00104325
518,PF,1067.79,0.0010674
542,PF,330.1984,0.000135264
542,PF,374.2257,0.0001523908
542,PF,420.6002,0.0001977757
542,PF,471.7534,0.0002290556
542,PF,516.9442,0.0002687859
542,PF,564.5092,0.0003141756
542,PF,608.4894,0.0003708503
542,PF,658.4219,0.000427549
542,PF,704.8065,0.0004644593
542,PF,753.5654,0.000507029
542,PF,801.127,0.0005552435
542,PF,846.3111,0.0006006236
542,PF,893.8828,0.0006403636
542,PF,942.645,0.0006801084
543,PF,330.185,0.0001465633
543,PF,373.0184,0.0001665102
543,PF,424.1481,0.000217564
543,PF,468.1484,0.0002572896
543,PF,514.533,0.0002941999
543,PF,563.2885,0.0003395944
543,PF,610.8401,0.0003962835
543,PF,657.2045,0.0004501429
543,PF,704.7796,0.0004870581
543,PF,749.9771,0.0005211388
543,PF,799.9332,0.0005580635
543,PF,845.0904,0.0006260424
543,PF,895.0598,0.0006516678
543,PF,943.7817,0.0007253107
544,PF,328.9003,0.0002256542
544,PF,372.9276,0.000242781
544,PF,422.8634,0.0002966549
544,PF,471.6223,0.0003392245
544,PF,519.1907,0.0003817894
544,PF,565.5349,0.0004525978
544,PF,611.8792,0.0005234063
544,PF,658.2201,0.0005970397
544,PF,705.7717,0.0006537287
544,PF,749.7619,0.0007019289
544,PF,800.8782,0.000764282
544,PF,849.6404,0.0008040268
544,PF,893.6272,0.0008550518
544,PF,944.73,0.0009287044
546,PF,328.8499,0.0002680269
546,PF,374.0306,0.0003162318
546,PF,420.3379,0.0004181136
546,PF,467.8861,0.0004776275
546,PF,515.4175,0.0005512657
546,PF,560.5645,0.000627719
546,PF,609.2696,0.0007154862
546,PF,656.7976,0.0007919492
546,PF,701.9548,0.000859928
546,PF,751.8974,0.0009081522
546,PF,798.2618,0.0009620116
546,PF,845.8167,0.001015876
546,PF,895.7492,0.001072575
546,PF,942.0834,0.001151858
545,PF,327.3754,0.0003688704
545,PF,372.9739,0.000365765
545,PF,423.5021,0.0004617645
545,PF,470.3331,0.0005140476
545,PF,518.3965,0.0005809028
545,PF,566.4599,0.0006623352
545,PF,612.0585,0.000743778
545,PF,657.657,0.0008368825
545,PF,705.7204,0.0009124841
545,PF,755.0162,0.000958926
545,PF,800.6148,0.001019961
545,PF,848.6782,0.001086816
545,PF,897.9739,0.001139089
545,PF,944.8049,0.001240934
595,PF,324.7424,0.000287591
595,PF,374.424,0.000369343
595,PF,417.736,0.000474453
595,PF,467.418,0.000532847
595,PF,513.277,0.00060292
595,PF,561.685,0.000684672
595,PF,607.545,0.000763504
595,PF,654.679,0.000848175
595,PF,700.539,0.000912409
595,PF,755.316,0.001
645,PF,301.6181,0.0005729226
645,PF,312.7189,0.0006157825
645,PF,320.7287,0.0006564813
645,PF,330.6173,0.000667247
645,PF,341.1145,0.0006908513
645,PF,351.0196,0.0006802267
645,PF,361.5069,0.0007166651
645,PF,372.0074,0.0007359913
645,PF,381.9043,0.0007360619
645,PF,392.418,0.0007382759
645,PF,401.6715,0.0007704274
645,PF,413.4191,0.0007769283
645,PF,422.0706,0.0007876852
645,PF,433.1996,0.0007941816
645,PF,444.36,0.0007600366
645,PF,453.0313,0.0007451252
645,PF,466.6593,0.0007195539
645,PF,473.4866,0.000689656
646,PF,298.5633,0.0005237029
646,PF,309.0324,0.0005836706
646,PF,320.1548,0.0005987232
646,PF,328.196,0.0005987805
646,PF,339.3432,0.0005817477
646,PF,347.993,0.0005946436
646,PF,359.7472,0.0005925884
646,PF,372.7087,0.0006290444
646,PF,380.1379,0.0006205413
646,PF,390.0397,0.0006141948
646,PF,399.9168,0.0006399336
646,PF,412.2796,0.000650717
646,PF,423.4201,0.0006422402
646,PF,430.2193,0.0006487058
646,PF,441.985,0.0006316774
646,PF,451.8885,0.0006231919
646,PF,470.4583,0.000606212
646,PF,493.955,0.0006170747
647,PF,303.4158,0.0006478017
647,PF,310.8451,0.0006392985
647,PF,321.9906,0.0006244047
647,PF,333.1328,0.000613789
647,PF,341.7744,0.00063738
647,PF,352.8885,0.0006631277
647,PF,363.4238,0.0006375344
647,PF,373.9028,0.0006846679
647,PF,387.5325,0.0006569576
647,PF,393.6981,0.00068267
647,PF,404.2218,0.0006720499
647,PF,414.117,0.0006742595
647,PF,424.6258,0.0006828906
647,PF,433.8859,0.000706486
647,PF,444.4146,0.0006894488
647,PF,454.93,0.0006895237
647,PF,466.6957,0.0006724953
647,PF,474.1216,0.0006682702
647,PF,484.0218,0.0006640627
647,PF,495.174,0.0006406128
647,PF,506.3344,0.0006064678
647,PF,515.6391,0.0005723095
686,PF,324.715,2.529412e-05
686,PF,369.6135,4.431373e-05
686,PF,418.3502,6.078431e-05
686,PF,464.6145,7.078431e-05
686,PF,560.3048,9.215686e-05
686,PF,661.2407,9.803922e-05
687,PF,300.1945,0.0002442972
687,PF,351.7604,0.0003010738
687,PF,399.657,0.0003639921
687,PF,451.2567,0.0004455968
687,PF,502.8734,0.0005396157
687,PF,550.8038,0.0006273622
687,PF,599.9432,0.0007027164
687,PF,654.0118,0.0007967787
687,PF,701.9084,0.0008596971
687,PF,754.7426,0.0009475306
687,PF,801.4385,0.001029048
687,PF,853.0637,0.001129274
688,PF,301.4965,0.0003001824
688,PF,348.2178,0.0004003213
688,PF,401.0689,0.0005005689
688,PF,451.4681,0.000600773
688,PF,500.6667,0.0007195765
688,PF,551.0744,0.0008259877
688,PF,600.2814,0.0009509983
688,PF,651.9488,0.001082259
688,PF,698.6702,0.001182398
688,PF,752.7979,0.00131991
688,PF,802.0135,0.001451128
688,PF,854.9322,0.001601031
689,PF,300.986,0.0004740003
689,PF,334.3411,0.0005087341
689,PF,356.2884,0.0005366218
689,PF,380.8828,0.0005892633
689,PF,409.8609,0.0006382673
689,PF,430.9265,0.0006590852
689,PF,457.353,0.0008357384
689,PF,481.994,0.0009628093
689,PF,507.5367,0.001128848
689,PF,533.0682,0.001277166
689,PF,558.5908,0.001411307
689,PF,581.4575,0.001506517
689,PF,607.864,0.001651272
689,PF,633.2845,0.001622377
689,PF,657.8922,0.001696284
689,PF,681.5517,0.001656793
689,PF,706.9921,0.001659797
689,PF,731.5976,0.001730159
689,PF,755.246,0.001672948
689,PF,782.4764,0.001732622
690,PF,306.3468,0.0006298357
690,PF,330.9367,0.0006753887
690,PF,358.1605,0.0007244301
690,PF,382.7548,0.0007770716
690,PF,405.5904,0.0008226619
690,PF,432.8141,0.0008717032
690,PF,457.4463,0.0009845971
690,PF,482.0229,0.001008885
690,PF,507.4834,0.001043786
690,PF,531.9823,0.0009440247
690,PF,559.2193,0.001014332
690,PF,581.966,0.0009181517
690,PF,605.6255,0.0008786612
690,PF,630.9994,0.0007753368
690,PF,656.4021,0.0007180877
690,PF,679.2155,0.0007282355
690,PF,707.283,0.0007240943
690,PF,730.9425,0.0006846038
690,PF,755.5236,0.0007159798
690,PF,781.8457,0.000726053
729,PF,740.063,0.0007314326
729,PF,693.9161,0.0006800097
729,PF,644.6004,0.0006147551
729,PF,601.6455,0.0005598224
729,PF,553.9648,0.0004633327
729,PF,509.4577,0.0003772064
729,PF,464.9506,0.00029108
729,PF,417.2423,0.0002153999
729,PF,374.2874,0.0001604673
729,PF,324.944,0.0001160223
729,PF,315.4005,0.0001022736
729,PF,309.0397,9.195171e-05
729,PF,297.898,8.169199e-05
729,PF,280.377,7.498345e-05
729,PF,270.8289,6.4703e-05
729,PF,254.9016,5.797373e-05
729,PF,243.7506,5.465055e-05
729,PF,235.7962,4.434938e-05
729,PF,216.6861,3.41933e-05
729,PF,191.1785,4.146146e-05
729,PF,203.9323,3.782738e-05
729,PF,173.6529,3.822119e-05
729,PF,157.721,3.496019e-05
729,PF,127.4416,3.535399e-05
730,PF,31.84542,1.925626e-05
730,PF,44.59925,1.562218e-05
730,PF,57.33927,2.23929e-05
730,PF,70.08389,2.569535e-05
730,PF,89.1893,3.93197e-05
730,PF,100.3403,4.264288e-05
730,PF,125.8203,5.618433e-05
730,PF,135.3822,5.605997e-05
730,PF,152.8986,6.623678e-05
730,PF,162.4421,7.998549e-05
730,PF,171.9856,9.37342e-05
730,PF,183.1273,0.0001039939
730,PF,191.0864,0.0001108268
730,PF,197.4426,0.000124617
730,PF,214.9451,0.0001451986
730,PF,227.6759,0.0001589059
730,PF,235.6396,0.0001622705
730,PF,245.1831,0.0001760192
730,PF,256.311,0.0001966837
730,PF,270.6262,0.0002173068
730,PF,289.7132,0.0002448042
730,PF,300.8458,0.0002620005
730,PF,324.6861,0.0003102453
730,PF,369.2116,0.0003824986
730,PF,416.9291,0.0004512422
730,PF,461.4731,0.0005096224
730,PF,506.0355,0.0005541295
730,PF,552.1823,0.0006055525
730,PF,598.3384,0.0006500389
730,PF,644.5359,0.0006633109
730,PF,692.3271,0.0006765621
730,PF,738.5338,0.0006828976
731,PF,738.9852,0.0003430073
731,PF,694.2662,0.0004164213
731,PF,644.8215,0.0004482782
731,PF,598.5825,0.0004662207
731,PF,553.1864,0.00044947
731,PF,507.7765,0.0004431242
731,PF,463.2003,0.0004090219
731,PF,418.6333,0.000367983
731,PF,372.4818,0.0003200283
731,PF,332.705,0.0002719907
731,PF,318.399,0.0002444311
731,PF,304.0745,0.0002307446
731,PF,291.3437,0.0002170373
731,PF,273.832,0.0002033923
731,PF,261.1058,0.0001862167
731,PF,245.1969,0.0001656144
731,PF,229.2972,0.0001380755
731,PF,207.0091,0.0001210244
731,PF,192.6984,9.693302e-05
731,PF,168.8167,7.990258e-05
731,PF,143.3459,5.94246e-05
732,PF,325.8376,0.0006431783
732,PF,370.3585,0.0007188999
732,PF,413.272,0.000805047
732,PF,313.2265,0.0005392961
732,PF,300.5187,0.0005082475
732,PF,286.2127,0.0004806879
732,PF,275.094,0.0004530868
732,PF,257.6007,0.0004255687
732,PF,246.4819,0.0003979676
732,PF,230.5822,0.0003704288
732,PF,221.0664,0.0003358704
732,PF,203.5684,0.0003118206
732,PF,195.6324,0.0002876463
732,PF,176.5546,0.0002532124
732,PF,162.2578,0.0002187162
732,PF,147.9518,0.0001911566
732,PF,132.0475,0.000167086
732,PF,119.3351,0.0001395057
732,PF,101.8372,0.0001154558
732,PF,89.111,9.828026e-05
732,PF,70.0148,7.771937e-05
732,PF,462.5509,0.0008980477
732,PF,507.1133,0.0009425548
732,PF,554.8169,0.001021703
732,PF,597.7581,0.001087041
732,PF,643.9372,0.001114186
732,PF,693.2667,0.001169035
732,PF,741.0671,0.00117535
733,PF,738.2851,0.0008701841
733,PF,690.5124,0.0008430597
733,PF,645.9407,0.0008054891
733,PF,604.5794,0.0007505357
733,PF,555.2637,0.0006852812
733,PF,509.1031,0.000644263
733,PF,464.6282,0.0005338588
733,PF,416.9475,0.0004373691
733,PF,370.8329,0.0003616683
733,PF,337.5044,0.0002580555
733,PF,323.1799,0.000244369
733,PF,308.8647,0.0002237459
733,PF,294.5402,0.0002100594
733,PF,277.0423,0.0001860095
733,PF,261.1242,0.0001723437
733,PF,246.8136,0.0001482523
733,PF,222.9548,0.0001138806
