sample_id,tepname,temp,tepvalue
1602,Z,"[231, 239, 244, 250, 258, 264, 273, 280, 289, 296, 301, 303, 310, 319, 326, 333, 341]","[0.00266, 0.00266, 0.00265, 0.00267, 0.00266, 0.00266, 0.00264, 0.00263, 0.00261, 0.00259, 0.00255, 0.00255, 0.00251, 0.00245, 0.00241, 0.00234, 0.00227]"
1603,Z,"[233, 236, 242, 249, 256, 263, 270, 278, 288, 294, 299, 302, 308, 317, 324, 333, 340]","[0.00264, 0.00265, 0.00267, 0.00264, 0.00264, 0.00264, 0.00262, 0.0026, 0.00259, 0.00253, 0.00247, 0.00249, 0.00245, 0.00239, 0.00234, 0.00227, 0.00218]"
1604,Z,"[220, 226, 232, 240, 249, 256, 266, 274, 283, 292, 297, 299, 306, 316, 322, 331, 340]","[0.00253, 0.00253, 0.00255, 0.00256, 0.00258, 0.00258, 0.00259, 0.00258, 0.00257, 0.00255, 0.00253, 0.00253, 0.00249, 0.00245, 0.00242, 0.00237, 0.00231]"
3529,Z,"[216.2126, 222.2208, 228.2346, 235.8844, 242.4481, 248.4564, 255.5672, 262.6699, 269.2308, 276.3417, 281.8055, 289.4526, 297.6579, 302.5772, 309.1382, 316.788, 323.9016, 328.8237, 335.3874, 340.8512, 348.5038, 355.6147, 360.5395, 366.556, 374.2058, 377.4891, 384.5999]","[5.304708e-05, 5.703699e-05, 5.901682e-05, 6.299848e-05, 6.397052e-05, 6.796043e-05, 6.892972e-05, 7.291413e-05, 7.489121e-05, 7.58605e-05, 7.884812e-05, 8.383482e-05, 8.479861e-05, 8.678394e-05, 8.876102e-05, 9.274268e-05, 9.270694e-05, 9.368723e-05, 9.465927e-05, 9.764689e-05, 0.0001006235, 0.0001015928, 0.0001015681, 0.0001025428, 0.0001065245, 0.000106508, 0.0001074773]"
3530,Z,"[209.6682, 216.2236, 228.2566, 236.4591, 243.5618, 249.5783, 255.592, 262.1474, 270.3472, 276.361, 282.3802, 288.9411, 294.9549, 303.7046, 310.2683, 316.2848, 323.3929, 329.9539, 336.5121, 343.6257, 348.545, 355.1032, 360.5753, 367.1362, 372.6055, 378.6165, 384.094]","[4.503977e-05, 4.902693e-05, 5.097651e-05, 5.294534e-05, 5.692975e-05, 5.790454e-05, 5.988437e-05, 6.387153e-05, 6.68454e-05, 6.882523e-05, 6.879498e-05, 7.077207e-05, 7.27519e-05, 7.471798e-05, 7.569002e-05, 7.666481e-05, 7.863914e-05, 8.061622e-05, 8.359834e-05, 8.356259e-05, 8.554792e-05, 8.853004e-05, 8.850255e-05, 9.047963e-05, 9.145717e-05, 9.444204e-05, 9.240446e-05]"
3531,Z,"[208.4803, 216.1274, 221.5692, 228.6663, 235.7717, 242.3299, 248.8853, 254.8908, 263.1071, 269.6598, 276.207, 282.2345, 289.3289, 295.8843, 302.4562, 309.0062, 314.4919, 323.2169, 328.1528, 337.9804, 342.897, 350.5496, 356.0051, 359.2829, 365.8603, 374.61, 377.8438, 383.8575]","[7.921659e-05, 8.420329e-05, 9.523122e-05, 0.0001012257, 0.0001042051, 0.0001071872, 0.0001111744, 0.0001161693, 0.0001131129, 0.0001181051, 0.0001251074, 0.000122062, 0.0001290616, 0.0001330487, 0.0001310057, 0.0001370029, 0.0001319502, 0.0001429616, 0.0001389167, 0.0001469075, 0.0001498979, 0.0001528745, 0.0001588773, 0.0001608709, 0.0001568177, 0.0001587838, 0.000176858, 0.0001788378]"
3595,Z,"[303.7473, 328.2895, 355.032, 377.323, 397.3461, 424.0547, 446.295, 470.7864, 499.6615, 519.6845, 553.0957, 568.6673, 597.5255, 626.536, 651.0105, 673.2677, 693.3922, 733.4552, 742.4089, 769.236, 809.2143, 827.1216, 851.6976, 869.5711]","[0.0004912156, 0.0005254731, 0.0005559054, 0.0005825378, 0.0005977286, 0.0006205274, 0.0006357097, 0.000658517, 0.0006698571, 0.0006850479, 0.0007192715, 0.0007306625, 0.0007381859, 0.0007800599, 0.0007990505, 0.0008180495, 0.0008561406, 0.0008903389, 0.0009093886, 0.0009589046, 0.0009740192, 0.001012119, 0.00105401, 0.001084476]"
5417,Z,"[622.5225, 672.7928, 722.8829, 772.973]","[0.001413919, 0.003362637, 0.00170696, 0.002065934]"
5418,Z,"[622.5225, 672.6126, 722.7027, 772.7928]","[0.0007692308, 0.003069597, 0.003003663, 0.002285714]"
5635,Z,"[300.1829, 324.878, 350.122, 375, 400.061, 424.7561, 449.8171]","[0.002660266, 0.002672083, 0.002592319, 0.002462334, 0.002243722, 0.002048744, 0.001800591]"
