sample_id,tepname,temperature,tepvalue
181,kappa,424.9736,2.175819
181,kappa,476.2936,2.153149
181,kappa,527.6135,2.017128
181,kappa,578.9335,1.918892
181,kappa,629.9366,1.893703
181,kappa,680.623,1.735013
181,kappa,730.9926,1.692191
207,kappa,295.9354,3.433195
207,kappa,370.666,2.817012
207,kappa,471.4496,2.287552
207,kappa,671.6454,1.685062
207,kappa,771.7434,1.488797
207,kappa,820.4212,1.411203
207,kappa,871.1557,1.351867
207,kappa,920.5191,1.283402
208,kappa,304.0858,1.576757
208,kappa,327.5792,1.490811
208,kappa,351.5832,1.404865
208,kappa,376.6088,1.325405
208,kappa,400.6129,1.255676
208,kappa,424.617,1.187568
208,kappa,450.6639,1.127568
208,kappa,475.6895,1.069189
208,kappa,500.2043,1.020541
208,kappa,525.7406,0.9735135
208,kappa,551.7875,0.9313514
208,kappa,574.7702,0.9005405
208,kappa,602.3493,0.8697297
208,kappa,626.3534,0.8454054
208,kappa,652.4004,0.8275676
208,kappa,675.383,0.8162162
208,kappa,701.9408,0.8032432
208,kappa,722.3698,0.7967568
13,kappa,292.7419,1.740413
13,kappa,325.4032,1.489505
13,kappa,365.3226,1.370385
13,kappa,397.379,1.297505
13,kappa,445.1613,1.224453
13,kappa,492.9435,1.157994
13,kappa,532.8629,1.111401
13,kappa,572.7823,1.084589
13,kappa,606.0484,1.07763
13,kappa,636.8952,1.064104
13,kappa,661.6935,1.070425
13,kappa,693.75,1.070073
13,kappa,717.9435,1.082994
13,kappa,757.8629,1.141896
13,kappa,789.3145,1.194297
13,kappa,821.9758,1.240092
13,kappa,837.7016,1.27948
22,kappa,297.7376,1.630769
22,kappa,372.3982,1.450769
22,kappa,472.5113,1.301538
22,kappa,572.6244,1.16
22,kappa,672.7376,1.090769
22,kappa,772.8507,1.02
209,kappa,298.2122,3.052152
209,kappa,325.6257,2.739238
209,kappa,373.3015,2.342881
209,kappa,423.3611,1.981291
209,kappa,473.4207,1.706623
209,kappa,524.0763,1.50149
209,kappa,572.944,1.34851
209,kappa,623.5995,1.233775
209,kappa,673.0632,1.160762
209,kappa,723.1228,1.12947
209,kappa,773.1824,1.139901
193,kappa,304.6569,3.342135
193,kappa,322.0973,3.211848
193,kappa,346.4202,3.035817
193,kappa,372.3671,2.854078
193,kappa,397.8077,2.695473
193,kappa,424.0993,2.534055
