sample_id,tepname,temperature,tepvalue
424,rho,148.6459,1.274725e-06
424,rho,174.8245,1.802198e-06
424,rho,199.1976,2.153846e-06
424,rho,224.4734,2.769231e-06
424,rho,249.7492,3.56044e-06
424,rho,274.1224,4.571429e-06
424,rho,299.3982,5.582418e-06
424,rho,324.674,6.725275e-06
424,rho,349.0471,7.692308e-06
424,rho,374.323,8.747253e-06
424,rho,399.5988,9.67033e-06
424,rho,424.8746,1.068132e-05
424,rho,449.2477,1.178022e-05
424,rho,475.4263,1.301099e-05
424,rho,499.7994,1.428571e-05
424,rho,525.9779,1.542857e-05
424,rho,550.3511,1.687912e-05
424,rho,575.6269,1.828571e-05
424,rho,600.0,1.978022e-05
425,rho,300.181,2.848255e-05
425,rho,372.9953,3.746458e-05
425,rho,473.4025,5.182337e-05
425,rho,573.4265,7.600004e-05
425,rho,673.4504,9.57139e-05
298,rho,346.1092,2.146082e-05
298,rho,376.2112,2.422311e-05
298,rho,406.3133,2.741036e-05
298,rho,435.9051,3.208499e-05
298,rho,466.0071,3.867198e-05
298,rho,496.6194,4.802125e-05
298,rho,526.2112,6.034529e-05
298,rho,555.8031,7.458167e-05
298,rho,585.9051,9.115538e-05
298,rho,615.4969,0.0001081541
298,rho,645.599,0.0001251527
298,rho,675.701,0.0001396016
298,rho,706.3133,0.0001500133
298,rho,366.5173,2.316069e-05
298,rho,396.1092,2.592297e-05
298,rho,425.701,3.038513e-05
298,rho,456.3133,3.612218e-05
298,rho,485.3949,4.462151e-05
298,rho,516.0071,5.588313e-05
298,rho,546.1092,6.969456e-05
298,rho,575.701,8.563081e-05
298,rho,606.3133,0.0001026295
298,rho,635.9051,0.0001196282
298,rho,665.4969,0.0001353519
298,rho,696.1092,0.000147251
39,rho,300.0,4.672435e-06
39,rho,325.1246,5.339926e-06
39,rho,350.2493,6.229913e-06
39,rho,375.3739,7.175525e-06
39,rho,400.1496,8.399258e-06
39,rho,424.9252,9.567367e-06
39,rho,450.0499,1.07911e-05
39,rho,475.1745,1.223733e-05
39,rho,500.6481,1.385043e-05
39,rho,525.4237,1.551916e-05
39,rho,550.1994,1.724351e-05
39,rho,575.324,1.891224e-05
39,rho,600.4487,2.085909e-05
39,rho,625.2243,2.275031e-05
39,rho,650.349,2.514215e-05
40,rho,337.8942,2.071332e-05
40,rho,376.639,2.325278e-05
40,rho,424.4944,2.763033e-05
40,rho,472.7382,3.302576e-05
40,rho,520.4086,3.936661e-05
40,rho,568.6106,4.643148e-05
40,rho,616.4831,5.28828e-05
40,rho,664.5786,5.952483e-05
40,rho,712.7497,5.276876e-05
41,rho,294.9921,3.902439e-06
41,rho,327.0391,4.115854e-06
41,rho,343.8026,4.207317e-06
41,rho,367.9619,4.329268e-06
41,rho,404.9376,4.664634e-06
41,rho,440.9282,4.939024e-06
41,rho,479.3807,5.396341e-06
41,rho,513.8891,5.823171e-06
41,rho,548.8881,6.371951e-06
41,rho,588.3226,7.042683e-06
41,rho,624.3085,7.560976e-06
41,rho,658.8108,8.292683e-06
41,rho,694.7894,9.176829e-06
41,rho,729.2851,1.02439e-05
41,rho,770.6848,1.128049e-05
41,rho,775.6128,1.143293e-05
410,rho,319.6078,4.582844e-06
410,rho,349.8599,5.111633e-06
410,rho,378.4314,5.992949e-06
410,rho,406.4426,6.698002e-06
410,rho,429.4118,7.403055e-06
410,rho,454.6218,8.460635e-06
410,rho,479.8319,9.518214e-06
410,rho,503.3613,1.057579e-05
410,rho,530.2521,1.180964e-05
410,rho,553.2213,1.321974e-05
410,rho,577.8711,1.462985e-05
410,rho,603.0812,1.656874e-05
410,rho,628.8515,1.850764e-05
410,rho,652.381,2.06228e-05
410,rho,677.0308,2.309048e-05
410,rho,701.6807,2.573443e-05
410,rho,750.9804,3.155112e-05
410,rho,775.6303,3.454759e-05
410,rho,799.7199,3.754407e-05
410,rho,823.8095,4.089307e-05
410,rho,833.3333,4.230317e-05
410,rho,863.0252,4.688602e-05
219,rho,316.8067,4.93537e-06
219,rho,347.619,5.46416e-06
219,rho,374.5098,6.169213e-06
219,rho,400.2801,7.050529e-06
219,rho,426.0504,7.931845e-06
219,rho,451.2605,8.636898e-06
219,rho,477.0308,9.518214e-06
219,rho,501.6807,1.039953e-05
219,rho,526.8908,1.163337e-05
219,rho,552.1008,1.304348e-05
219,rho,576.7507,1.392479e-05
219,rho,601.4006,1.568743e-05
219,rho,626.6106,1.72738e-05
219,rho,651.2605,1.921269e-05
219,rho,675.9104,2.168038e-05
219,rho,700.5602,2.432432e-05
219,rho,725.7703,2.714454e-05
219,rho,750.4202,3.031727e-05
219,rho,774.5098,3.349001e-05
219,rho,799.1597,3.666275e-05
219,rho,823.8095,4.001175e-05
219,rho,833.3333,4.142186e-05
219,rho,862.465,4.547591e-05
43,rho,148.6459,1.054945e-06
43,rho,174.3731,1.274725e-06
43,rho,198.2949,1.538462e-06
43,rho,225.3761,2.021978e-06
43,rho,249.7492,2.637363e-06
43,rho,275.9278,3.428571e-06
43,rho,299.3982,4.043956e-06
43,rho,325.5767,4.967033e-06
43,rho,349.9498,5.758242e-06
43,rho,375.2257,6.769231e-06
43,rho,400.5015,7.78022e-06
43,rho,425.7773,8.835165e-06
43,rho,450.1505,1.006593e-05
43,rho,475.4263,1.125275e-05
43,rho,499.7994,1.252747e-05
43,rho,525.9779,1.389011e-05
43,rho,550.3511,1.538462e-05
43,rho,575.6269,1.705495e-05
43,rho,600.0,1.89011e-05
44,rho,149.5486,9.67033e-07
44,rho,174.8245,1.098901e-06
44,rho,199.1976,1.450549e-06
44,rho,222.668,1.802198e-06
44,rho,248.8465,2.153846e-06
44,rho,274.1224,2.505495e-06
44,rho,300.3009,2.813187e-06
44,rho,322.8686,3.120879e-06
44,rho,350.8526,3.78022e-06
44,rho,375.2257,4.307692e-06
44,rho,399.5988,5.054945e-06
44,rho,423.9719,5.758242e-06
44,rho,450.1505,6.813187e-06
44,rho,473.6209,7.604396e-06
44,rho,501.6048,8.483516e-06
44,rho,525.0752,9.758242e-06
44,rho,550.3511,1.098901e-05
44,rho,574.7242,1.237363e-05
44,rho,599.0973,1.397802e-05
46,rho,296.5753,6e-06
46,rho,359.3607,7.542857e-06
46,rho,394.1781,8.285714e-06
46,rho,426.7123,9.428571e-06
46,rho,460.9589,1.102857e-05
46,rho,493.4932,1.268571e-05
46,rho,524.8858,1.428571e-05
46,rho,558.5616,1.645714e-05
46,rho,593.379,1.874286e-05
46,rho,625.3425,2.102857e-05
46,rho,660.7306,2.342857e-05
46,rho,696.1187,2.577143e-05
46,rho,727.5114,2.76e-05
46,rho,758.3333,2.914286e-05
46,rho,791.4384,3.051429e-05
239,rho,297.0803,7.191539e-06
239,rho,320.438,7.826087e-06
239,rho,357.9075,9.024677e-06
239,rho,366.18,9.095182e-06
239,rho,408.0292,9.306698e-06
239,rho,434.7932,9.659224e-06
239,rho,441.1192,9.659224e-06
239,rho,474.6959,1.015276e-05
239,rho,501.4599,1.07168e-05
239,rho,521.4112,1.128085e-05
239,rho,549.1484,1.20564e-05
239,rho,574.9392,1.290247e-05
239,rho,598.7835,1.388954e-05
239,rho,622.1411,1.487662e-05
239,rho,648.4185,1.60047e-05
239,rho,675.1825,1.685076e-05
239,rho,699.5134,1.748531e-05
239,rho,721.8978,1.804935e-05
239,rho,747.6886,1.86134e-05
239,rho,774.9392,1.931845e-05
239,rho,800.7299,2.016451e-05
239,rho,821.1679,2.058754e-05
47,rho,299.651,6.563659e-06
47,rho,324.7757,7.453646e-06
47,rho,349.9003,8.677379e-06
47,rho,375.0249,9.73424e-06
47,rho,399.8006,1.118047e-05
47,rho,424.9252,1.273795e-05
47,rho,450.0499,1.42398e-05
47,rho,475.1745,1.590853e-05
47,rho,500.2991,1.774413e-05
47,rho,525.4237,1.941286e-05
47,rho,550.1994,2.147095e-05
47,rho,575.324,2.358467e-05
47,rho,600.0997,2.592089e-05
47,rho,625.2243,2.864648e-05
47,rho,650.349,3.209518e-05
48,rho,297.819,8.130377e-06
48,rho,372.5191,1.143604e-05
48,rho,473.3915,1.99172e-05
48,rho,573.7186,3.395412e-05
48,rho,672.9553,5.354699e-05
48,rho,773.2824,7.332465e-05
49,rho,758.2733,3.603731e-05
49,rho,709.5598,3.264637e-05
49,rho,660.495,2.829465e-05
49,rho,611.7843,2.337778e-05
49,rho,563.0734,1.851742e-05
49,rho,514.3619,1.405268e-05
49,rho,466.002,1.037915e-05
49,rho,416.934,7.779428e-06
49,rho,369.9831,5.857891e-06
49,rho,322.6781,4.558029e-06
333,rho,303.187,1.053352e-05
333,rho,314.7396,1.24487e-05
333,rho,325.8302,1.29959e-05
333,rho,335.9966,1.409029e-05
333,rho,345.7008,1.463748e-05
333,rho,355.8672,1.545828e-05
333,rho,367.4199,1.641587e-05
333,rho,377.1241,1.696306e-05
333,rho,387.7526,1.805746e-05
333,rho,397.4568,1.887825e-05
333,rho,407.6232,1.942544e-05
