sample_id,tepname,temp,tepvalue
265,simga,"[302.9126, 322.5728, 372.8155, 422.3301, 473.301, 522.8155, 573.0583, 623.301, 672.0874, 722.3301, 771.8447, 823.5437, 872.3301, 922.5728]","[174385.5, 154204.4, 121086.7, 94178.53, 72445.02, 54592.5, 43208.28, 35187.58, 32082.79, 32082.79, 33117.72, 34152.65, 35187.58, 35446.31]"
469,simga,"[299.3902, 320.122, 368.9024, 418.2927, 467.0732, 515.8537, 565.2439, 614.0244, 663.4146, 712.1951]","[77795.79, 68719.61, 51215.56, 39222.04, 30145.87, 23338.74, 18152.35, 14910.86, 12317.67, 10696.92]"
253,simga,"[301.4994, 303.7486, 326.2399, 350.9804, 373.4717, 398.9619, 422.203, 446.9435, 470.1845, 494.925, 518.9158, 543.6563, 566.1476, 590.8881, 614.8789, 638.8697, 662.8604]","[493107.8, 467418.5, 438596.5, 384711.8, 352130.3, 315162.9, 293233.1, 260651.6, 242481.2, 217418.5, 201127.8, 180451.1, 166666.7, 152255.6, 139724.3, 129072.7, 120300.8]"
307,simga,"[307.6967, 315.6457, 323.8844, 333.1318, 342.253, 351.6361, 361.3781, 370.7405, 380.4437, 389.497, 398.8636, 408.5903, 418.3171, 427.6836, 437.3632, 446.7768, 456.5036, 465.5099, 475.2366, 484.2429, 493.9696, 503.986, 513.0629, 523.1499, 532.5164, 542.2432, 551.9699, 561.6967, 571.0632, 580.4297, 590.1564, 599.8832, 609.61, 619.3367, 628.7032, 638.7902, 647.7965, 657.5232]","[50051.59, 47501.06, 45007.09, 42547.28, 40372.56, 38365.82, 36539.4, 35061.2, 33678.93, 32360.25, 31179.62, 30108.76, 29234.27, 28389.05, 27434.29, 26803.49, 26121.71, 25413.09, 24780.08, 24217.82, 23559.21, 22958.15, 22607.88, 22059.03, 21754.12, 21318.7, 20997.93, 20621.06, 20312.48, 20044.16, 19766.08, 19494.09, 19241.63, 18997.69, 18742.79, 18554.96, 18363.47, 18139.06]"
277,simga,"[306.1125, 345.8435, 395.9658, 444.8655, 494.3765, 544.4988, 594.0098, 643.5208, 692.4205, 741.3203, 790.22, 814.6699]","[86945.17, 104438.6, 106788.5, 91122.72, 72845.95, 56919.06, 45430.81, 37597.91, 32637.08, 28981.72, 25848.56, 24543.08]"
360,simga,"[298.8789, 319.0583, 367.2646, 417.1525, 465.3587, 514.6861, 563.4529, 612.2197, 660.9865, 709.1928, 757.3991]","[141253.3, 122976.5, 86684.07, 61096.61, 43864.23, 32375.98, 25326.37, 19843.34, 16971.28, 14882.51, 14099.22]"
217,simga,"[308.845, 333.2986, 357.7523, 382.7263, 401.9771, 424.3496, 451.9251, 476.3788, 501.873, 526.3267, 549.7399, 574.1935, 599.1675, 622.5806, 647.0343, 670.4475, 693.3403, 716.7534]","[24963.5, 25401.46, 26715.33, 28175.18, 28759.12, 29927.01, 29343.07, 28321.17, 26569.34, 25109.49, 23065.69, 21605.84, 20000, 18686.13, 17080.29, 15912.41, 15474.45, 15036.5]"
473,simga,"[349.6855, 397.2327, 495.8491, 465.9119, 511.6981, 566.2893, 590.9434, 612.0755, 663.1447, 687.7987, 710.6918]","[144880.2, 123529.4, 73202.61, 67102.4, 57189.54, 45751.63, 45751.63, 38126.36, 30501.09, 29738.56, 28213.51]"
266,simga,"[305.5085, 318.6441, 357.6271, 367.3729, 396.6102, 406.7797, 416.5254, 425.8475, 441.9492, 455.9322, 465.678, 475, 491.1017, 504.661, 514.8305, 525, 539.8305, 554.661, 564.8305, 573.7288, 588.9831, 603.8136, 613.9831, 622.8814, 638.1356, 652.9661, 662.7119, 672.0339, 687.2881, 700.8475, 711.0169, 719.9153]","[297852.3, 278590.6, 228322.1, 220335.6, 190738.3, 181342.3, 175704.7, 166778.5, 155503.4, 144698, 141409.4, 133892.6, 124966.4, 116510.1, 113221.5, 107583.9, 101006.7, 93489.93, 92080.54, 87382.55, 81744.97, 76107.38, 74697.99, 70939.6, 66711.41, 62013.42, 60604.03, 57785.23, 54496.64, 50268.46, 49328.86, 46979.87]"
386,simga,"[306.1896, 360.3482, 341.3926, 373.2108, 421.9536, 459.8646, 507.9304, 555.9961, 607.4468, 669.7292, 737.4275, 799.7099, 834.913, 884.3327]","[267579.3, 206125.9, 227110.3, 193634.1, 153155.5, 127164.5, 103163.5, 83156.96, 67641.76, 53616.75, 41085.8, 32553.16, 29532.22, 25003.21]"
