sample_id,tepname,temp,tepvalue
537,zT,"[316.915, 351.699, 391.712, 429.998, 464.558, 502.572, 539.209, 575.282, 653.154, 689.075, 725.502, 762.929, 800.179, 836.91, 862.518]","[0.0101763, 0.0133472, 0.0177816, 0.022025, 0.026243, 0.0312539, 0.0378721, 0.0434571, 0.0578803, 0.0651459, 0.072733, 0.0809576, 0.0896856, 0.0985159, 0.105043]"
538,zT,"[325.7687, 362.3187, 399.5355, 436.428, 473.3205, 510.213, 547.1056, 583.9981, 619.7829, 657.7832, 694.6757, 731.5682, 768.4279, 805.3533, 842.2933, 865.258]","[0.01373177, 0.01762128, 0.02283882, 0.02822672, 0.03427436, 0.04075243, 0.04815497, 0.05582485, 0.06436861, 0.07385856, 0.08429729, 0.09451518, 0.1061015, 0.118661, 0.1315778, 0.1379966]"
539,zT,"[330.0802, 368.2892, 402.6463, 440.0807, 476.9732, 513.8658, 550.7583, 587.6508, 623.793, 661.4359, 698.3284, 735.2209, 772.1135, 809.006, 845.8985, 867.9975]","[0.02004026, 0.02419073, 0.02982404, 0.03782343, 0.04598228, 0.05565527, 0.06713789, 0.07838722, 0.0903774, 0.1035186, 0.1175455, 0.1304134, 0.144457, 0.1583752, 0.1727611, 0.1773568]"
540,zT,"[309.4045, 352.2327, 399.5355, 438.6856, 473.3205, 510.213, 547.1056, 583.9981, 619.7829, 657.7832, 694.6757, 731.5682, 768.4607, 805.3533, 842.2458, 866.5364]","[0.0210495, 0.02570631, 0.03426125, 0.0438634, 0.05258204, 0.06443534, 0.07732951, 0.09121159, 0.1053709, 0.1217252, 0.1384557, 0.1547132, 0.1724005, 0.1900772, 0.2082553, 0.217999]"
541,zT,"[333.2298, 373.2639, 408.9125, 447.7325, 485.8469, 522.7527, 559.2458, 595.839, 631.7107, 669.676, 699.4726, 730.0222, 764.477, 792.4726, 828.2868, 862.403, 883.1563]","[0.02701112, 0.03400499, 0.04280495, 0.0534991, 0.06649286, 0.08171856, 0.1036117, 0.1242717, 0.1479511, 0.1746312, 0.1999635, 0.2261018, 0.2549457, 0.2777485, 0.3045528, 0.3273199, 0.3361656]"
542,zT,"[331.8021, 375.1536, 423.6054, 472.0571, 519.2338, 566.4105, 612.3121, 659.4888, 705.3904, 752.5671, 801.0189, 848.1955, 896.6473, 943.824]","[0.007061791, 0.01399281, 0.01770798, 0.03121335, 0.04144344, 0.04514672, 0.05862832, 0.07212181, 0.0790766, 0.09583349, 0.1060755, 0.119569, 0.1265475, 0.1433044]"
543,zT,"[329.252, 376.4287, 424.8804, 472.0571, 519.2338, 566.4105, 612.3121, 658.2138, 705.3904, 752.5671, 801.0189, 849.4706, 896.6473, 947.6491]","[0.01356482, 0.0172681, 0.02751007, 0.03774016, 0.05449705, 0.05820033, 0.07168193, 0.09169034, 0.1051838, 0.1219407, 0.1321827, 0.1489515, 0.1559182, 0.1825009]"
544,zT,"[329.252, 378.9788, 423.6054, 472.0571, 519.2338, 567.6855, 612.3121, 660.7638, 709.2156, 755.1172, 801.0189, 852.0207, 897.9223, 947.6491]","[0.03640864, 0.0401357, 0.06013222, 0.07037419, 0.09039449, 0.1104267, 0.1402134, 0.1765626, 0.1998582, 0.22313, 0.256192, 0.2795114, 0.30931, 0.3456711]"
545,zT,"[331.8021, 378.9788, 426.1555, 473.3321, 516.6837, 566.4105, 616.1372, 660.7638, 705.3904, 755.1172, 802.2939, 850.7456, 899.1974, 946.374]","[0.09517368, 0.1054038, 0.1352143, 0.1715516, 0.21438, 0.2768483, 0.3393167, 0.4017374, 0.4674216, 0.5233631, 0.589071, 0.6547909, 0.7107205, 0.7927454]"
546,zT,"[329.252, 377.7037, 423.6054, 469.507, 516.6837, 563.8604, 611.0371, 658.2138, 704.1154, 753.8422, 798.4688, 848.1955, 896.6473, 943.824]","[0.1016767, 0.1445527, 0.2102488, 0.269418, 0.3416528, 0.4236777, 0.5318099, 0.6399421, 0.7415356, 0.8529549, 0.9708536, 1.075746, 1.167573, 1.259388]"
601,zT,"[334.1626, 382.8578, 575.1783, 725.741, 871.3025, 986.2637, 1070.277]","[0.02421523, 0.0398965, 0.07362186, 0.1095195, 0.09299378, 0.1031912, 0.3642749]"
602,zT,"[58.94737, 61.05263, 63.85965, 65.26316, 66.66667, 69.47368, 71.57895, 72.2807, 77.19298, 80, 81.40351, 86.31579, 89.12281, 91.92982, 94.73684, 97.54386, 101.7544, 104.5614, 108.7719, 111.5789, 115.7895, 120, 123.5088, 127.0175, 131.2281, 134.0351, 136.8421, 139.6491, 143.1579, 150.8772, 153.6842, 158.5965, 160, 164.2105, 167.7193, 171.9298, 175.4386, 180.3509, 185.2632, 190.1754, 196.4912, 200, 207.0175, 211.9298, 215.4386, 221.7544, 226.6667, 232.2807, 235.0877, 239.2982, 240.7018, 244.9123, 246.3158, 249.8246, 255.4386, 259.6491, 263.8596, 270.8772, 273.6842, 277.8947, 280, 283.5088, 287.0175, 289.8246, 290.5263, 296.1404, 299.6491, 302.4561, 305.2632, 308.7719, 313.6842, 318.5965, 324.2105, 326.3158, 330.5263, 335.4386, 336.1404, 339.6491, 343.1579, 345.9649, 349.4737, 351.5789, 355.0877, 357.193, 358.5965, 361.4035, 364.2105, 367.0175, 370.5263, 374.7368, 378.2456, 378.2456, 381.0526, 385.2632]","[0.0001232877, 0.0001315068, 0.0001315068, 0.0001315068, 0.0001315068, 0.0001315068, 0.0001315068, 0.0001315068, 0.0001315068, 0.0001479452, 0.0001479452, 0.0001479452, 0.0001479452, 0.0001561644, 0.0001643836, 0.0001643836, 0.0001726027, 0.0001808219, 0.0001890411, 0.0001972603, 0.0002054795, 0.0002054795, 0.0002054795, 0.000230137, 0.000230137, 0.0002547945, 0.0002630137, 0.0002794521, 0.0002958904, 0.0003205479, 0.0003369863, 0.0003452055, 0.0003534247, 0.0003780822, 0.0003863014, 0.0004027397, 0.0004191781, 0.0004520548, 0.0004520548, 0.0004767123, 0.0005260274, 0.0005260274, 0.0005835616, 0.0006164384, 0.0006493151, 0.000690411, 0.0007232877, 0.0007643836, 0.0007890411, 0.000830137, 0.0008547945, 0.0008876712, 0.0008958904, 0.0009123288, 0.0009534247, 0.0009945205, 0.001052055, 0.001117808, 0.001158904, 0.001191781, 0.001216438, 0.001241096, 0.001273973, 0.001290411, 0.001339726, 0.001389041, 0.001446575, 0.001471233, 0.001479452, 0.001512329, 0.001561644, 0.001619178, 0.001668493, 0.001684932, 0.001742466, 0.001808219, 0.001841096, 0.001923288, 0.002178082, 0.002260274, 0.00230137, 0.002334247, 0.002367123, 0.002539726, 0.002580822, 0.002654795, 0.00269589, 0.002720548, 0.002720548, 0.00259726, 0.002613699, 0.002663014, 0.00270411, 0.002745205]"
